epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1,16.146535031000774,14.290986450674794,0.0005208333333333333,0.0,0.0,0.0,0.0
2,12.70163984298706,12.133834590312514,0.0010416666666666667,0.0,0.0,0.0,0.0
3,10.254074064890544,8.791678885214871,0.0015625,0.0,0.0,0.0,0.0
4,3.083902287483215,1.6752450430900023,0.6989583333333333,1.0,1.0,1.0,1.0
5,1.5933308720588684,1.6255130617984341,1.0,1.0,1.0,1.0,1.0
6,1.580712479352951,1.5951498460417093,1.0,1.0,1.0,1.0,1.0
7,1.5665877481301627,1.5325653255536684,1.0,1.0,1.0,1.0,1.0
8,1.4959835867087046,1.4894866674532512,1.0,1.0,1.0,1.0,1.0
9,1.4894863645235696,1.4894863367080688,1.0,1.0,1.0,1.0,1.0
10,1.4894866665204367,1.489486421322426,1.0,1.0,1.0,1.0,1.0
