epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1,16.226707649230956,14.207104795741506,0.0005208333333333333,0.0,0.0,0.0,0.0
2,12.804329284032185,12.1454486511992,0.0,0.0,0.0,0.0,0.0
3,10.27462558746338,8.801923506801979,0.0,0.0,0.0,0.0,0.0
4,3.209802826245626,1.649858522547371,0.6916666666666667,1.0,1.0,1.0,1.0
5,1.5858057936032612,1.6252900011658449,1.0,1.0,1.0,1.0,1.0
6,1.576635124286016,1.5896296408612716,1.0,1.0,1.0,1.0,1.0
7,1.5700568795204162,1.5537200205427442,1.0,1.0,1.0,1.0,1.0
8,1.5007161974906922,1.4894887750999324,1.0,1.0,1.0,1.0,1.0
9,1.4894870241483054,1.4894864072200331,1.0,1.0,1.0,1.0,1.0
10,1.4894863347212473,1.4894989444676257,1.0,1.0,1.0,1.0,1.0
