epoch,train_loss,val_loss,train_acc,val_acc,val_precision,val_recall,val_f1
1,16.56372947692871,12.264784469604493,0.0,0.0,0.0,0.0,0.0
2,4.648419225215912,1.4274759340286254,0.6103125,0.9925,0.9959615384615383,0.9925,0.9934826441859896
3,1.4305803418159484,1.392710976600647,0.9978125,0.9975,0.9980555555555556,0.9975,0.9976215277777777
4,1.4290299963951112,1.4210362672805785,0.9990625,0.99375,0.9963541666666668,0.99375,0.9944491182250285
5,1.427864258289337,1.4128997755050658,0.99875,0.995,0.9968181818181818,0.995,0.9954568947144076
6,1.4326568126678467,1.4227100563049317,0.9996875,0.995,0.9968181818181818,0.995,0.9955121607252192
7,1.4290521514415742,1.387355580329895,0.99875,0.99875,0.99890625,0.99875,0.998783105022831
8,1.4321916222572326,1.4253836154937745,0.9975,0.995,0.9968181818181818,0.995,0.9954638708643755
9,,,0.05,0.0075,5.625e-05,0.0075,0.00011166253101736973
10,,,0.0103125,0.0075,5.625e-05,0.0075,0.00011166253101736973
