Path,True Label,Predicted Label
plant_diseases/Alternaria leaf blight\1265.jpg,Spider mite,Dry rot
plant_diseases/Alternaria leaf blight\1266.jpg,Healthy,Loss of foliage turgor
plant_diseases/Alternaria leaf blight\1273.jpg,Nutrient deficiency,Bacterial spot
plant_diseases/Alternaria leaf blight\1274.jpg,Powdery mildew,Anthracnose
plant_diseases/Alternaria leaf blight\1275.jpg,Sooty mold,Grey mold
plant_diseases/Alternaria leaf blight\1276.jpg,Mechanical damage,Loss of foliage turgor
plant_diseases/Alternaria leaf blight\1279.jpg,Scale,Aphid
plant_diseases/Alternaria leaf blight\1282.jpg,Rust,Mealybug
plant_diseases/Alternaria leaf blight\1284.jpg,Powdery mildew,Leaf miners
plant_diseases/Alternaria leaf blight\1287.jpg,Leaf deformation,Late blight
plant_diseases/Alternaria leaf blight\1295.jpg,Whitefly,Mealybug
plant_diseases/Alternaria leaf blight\4.jpg,Black spots,Ascochyta blight
plant_diseases/Alternaria leaf blight\7.jpg,Leaf miners,Mealybug
plant_diseases/Alternaria leaf blight\aug_0_1.jpg,Powdery mildew,Mealybug
plant_diseases/Alternaria leaf blight\aug_0_1273.jpg,Leaf deformation,Powdery mildew
plant_diseases/Alternaria leaf blight\aug_0_1274.jpg,Aphid effects,Anthocyanosis
plant_diseases/Alternaria leaf blight\aug_0_1275.jpg,Ascochyta blight,Shot hole
plant_diseases/Alternaria leaf blight\aug_0_1282.jpg,Dry rot,Ascochyta blight
plant_diseases/Alternaria leaf blight\aug_0_Alternaria leaf blight(2).jpg,Marginal leaf necrosis,Aphid effects
plant_diseases/Alternaria leaf blight\aug_0_загруженное(9).jpg,Ascochyta blight,Powdery mildew
plant_diseases/Alternaria leaf blight\aug_1_1266.jpg,Anthocyanosis,Burn
plant_diseases/Alternaria leaf blight\aug_1_1267.jpg,Burn,Nutrient deficiency
plant_diseases/Alternaria leaf blight\aug_1_1268.jpg,Whitefly,Leaf miners
plant_diseases/Alternaria leaf blight\aug_1_1276.jpg,Powdery mildew,Grey mold
plant_diseases/Alternaria leaf blight\aug_1_1278.jpg,Nutrient deficiency,Edema
plant_diseases/Alternaria leaf blight\aug_1_1281.jpg,Nutrient deficiency,Healthy
plant_diseases/Alternaria leaf blight\aug_2_1264.jpg,Nutrient deficiency,Powdery mildew
plant_diseases/Alternaria leaf blight\aug_2_1267.jpg,Healthy,Mealybug
plant_diseases/Alternaria leaf blight\aug_2_1268.jpg,Spider mite,Leaf deformation
plant_diseases/Alternaria leaf blight\aug_2_1269.jpg,Powdery mildew,Sooty mold
plant_diseases/Alternaria leaf blight\aug_2_1270.jpg,Mosaic virus,Black spots
plant_diseases/Alternaria leaf blight\aug_2_1273.jpg,Thrips,Whitefly
plant_diseases/Alternaria leaf blight\aug_2_1277.jpg,Bacterial spot,Loss of foliage turgor
plant_diseases/Alternaria leaf blight\aug_3_1.jpg,Alternaria leaf blight,Scale
plant_diseases/Alternaria leaf blight\aug_3_1264.jpg,Healthy,Anthocyanosis
plant_diseases/Alternaria leaf blight\aug_3_1266.jpg,Mealybug,Spider mite
plant_diseases/Alternaria leaf blight\aug_3_1267.jpg,Mosaic virus,Thrips
plant_diseases/Alternaria leaf blight\aug_3_1268.jpg,Leaf deformation,Late blight
